iter	Passed	Remaining
0	2	236
1	3	176
2	4	150
3	5	136
4	8	156
5	9	145
6	10	137
7	11	130
8	14	141
9	15	135
10	16	130
11	17	125
12	18	121
13	19	122
14	21	120
15	22	116
16	23	114
17	24	112
18	25	108
19	26	105
20	28	107
21	29	105
22	30	102
23	31	100
24	32	98
25	33	96
26	34	93
27	35	91
28	36	89
29	37	87
30	38	85
31	40	85
32	42	85
33	43	83
34	44	82
35	45	80
36	46	78
37	47	77
38	48	75
39	49	73
40	50	72
41	50	70
42	51	68
43	52	66
44	53	65
45	54	64
46	55	62
47	57	62
48	59	62
49	60	60
50	61	59
51	63	58
52	64	56
53	65	55
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	71	47
60	73	46
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	108	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	118	0
