iter	Passed	Remaining
0	3	3649
1	5	2786
2	7	2488
3	10	2609
4	12	2448
5	17	2837
6	19	2733
7	21	2624
8	23	2534
9	24	2457
10	40	3644
11	43	3561
12	49	3791
13	51	3647
14	53	3504
15	54	3378
16	56	3275
17	58	3210
18	60	3137
19	62	3064
20	64	2994
21	65	2923
22	67	2885
23	71	2918
24	73	2864
25	74	2809
26	82	2982
27	84	2934
28	88	2969
29	90	2919
30	91	2871
31	93	2826
32	95	2784
33	96	2744
34	98	2711
35	99	2675
36	103	2692
37	105	2660
38	106	2630
39	108	2599
40	110	2583
41	112	2571
42	114	2547
43	118	2565
44	119	2542
45	121	2518
46	123	2495
47	126	2511
48	128	2495
49	130	2478
50	135	2520
51	137	2504
52	139	2486
53	141	2472
54	143	2459
55	145	2444
56	147	2448
57	150	2438
58	151	2420
59	153	2402
60	155	2389
61	156	2372
62	165	2460
63	167	2448
64	169	2442
65	171	2425
66	172	2407
67	174	2390
68	175	2373
69	177	2363
70	180	2366
71	182	2351
72	184	2336
73	185	2324
74	187	2311
75	197	2405
76	199	2392
77	201	2376
78	202	2361
79	204	2346
80	205	2332
81	207	2319
82	207	2296
83	212	2313
84	214	2304
85	215	2293
86	217	2283
87	219	2273
88	221	2263
89	222	2253
90	226	2262
91	228	2259
92	251	2456
93	253	2442
94	254	2428
95	258	2434
96	260	2421
97	261	2408
98	263	2395
99	265	2386
100	266	2373
101	271	2390
102	276	2406
103	278	2395
104	279	2382
105	281	2370
106	282	2358
107	284	2346
108	285	2335
109	287	2323
110	291	2333
111	292	2322
112	294	2310
113	295	2299
114	297	2288
115	298	2277
116	299	2263
117	308	2309
118	313	2317
119	314	2309
120	316	2298
121	317	2286
122	321	2292
123	323	2282
124	324	2271
125	326	2261
126	327	2248
127	328	2240
128	330	2231
129	333	2231
130	337	2236
131	339	2229
132	377	2460
133	379	2449
134	380	2438
135	385	2450
136	387	2442
137	395	2470
138	397	2461
139	402	2471
140	403	2461
141	404	2446
142	406	2436
143	408	2425
144	409	2416
145	411	2406
146	416	2417
147	418	2410
148	420	2400
149	422	2394
150	424	2386
151	426	2378
152	434	2406
153	436	2399
154	438	2390
155	440	2381
156	442	2373
157	448	2388
158	450	2381
159	452	2377
160	453	2364
161	455	2355
162	456	2345
163	458	2336
164	462	2339
165	464	2333
166	466	2324
167	467	2315
168	469	2306
169	472	2306
170	482	2337
171	483	2329
172	485	2321
173	487	2313
174	488	2304
175	494	2313
176	496	2307
177	497	2299
178	499	2291
179	501	2282
